""	"samplename"	"strain"	"sample"	"experiment"	"time"	"generation"	"CN"	"Sugar"	"reactorname"	"fraction"	"correctedfraction"	"sum"	"correctedsum"	"correctedfraction2"	"correctedsum2"
"440"	"S2R4_0"	"Lreu"	"S2R4"	"SDR12"	"0"	0.455696203	6	"Sucrose"	"R4"	0.002900953	0.00227241318333333	1	1.14390040072167	0.00198654811371664	1
"441"	"S2R4_0"	"Phis"	"S2R4"	"SDR12"	"0"	0.455696203	4	"Sucrose"	"R4"	0.878159967	1.031837961225	1	1.14390040072167	0.90203479304145	1
"442"	"S2R4_0"	"Smit"	"S2R4"	"SDR12"	"0"	0.455696203	4	"Sucrose"	"R4"	0	0	1	1.14390040072167	0	1
"443"	"S2R4_0"	"Ssal"	"S2R4"	"SDR12"	"0"	0.455696203	6	"Sucrose"	"R4"	0.012847078	0.0100635444333333	1	1.14390040072167	0.00879757051137006	1
"444"	"S2R4_0"	"Vaty"	"S2R4"	"SDR12"	"0"	0.455696203	3	"Sucrose"	"R4"	0	0	1	1.14390040072167	0	1
"445"	"S2R4_11"	"Lcas"	"S2R4"	"SDR12"	"11"	94.05011128	5	"Sucrose"	"R4"	0.953170327	0.89598010738	0.999999999	0.951167287263333	0.941979522821778	1
"446"	"S2R4_11"	"Lreu"	"S2R4"	"SDR12"	"11"	94.05011128	6	"Sucrose"	"R4"	0.000414422	0.000324630566666667	0.999999999	0.951167287263333	0.000341297026310359	1
"447"	"S2R4_11"	"Phis"	"S2R4"	"SDR12"	"11"	94.05011128	4	"Sucrose"	"R4"	0	0	0.999999999	0.951167287263333	0	1
"448"	"S2R4_11"	"Smit"	"S2R4"	"SDR12"	"11"	94.05011128	4	"Sucrose"	"R4"	0	0	0.999999999	0.951167287263333	0	1
"449"	"S2R4_11"	"Ssal"	"S2R4"	"SDR12"	"11"	94.05011128	6	"Sucrose"	"R4"	0.022793203	0.0178546756833333	0.999999999	0.951167287263333	0.0187713306822233	1
"450"	"S2R4_11"	"Vaty"	"S2R4"	"SDR12"	"11"	94.05011128	3	"Sucrose"	"R4"	0.023622047	0.0370078736333333	0.999999999	0.951167287263333	0.0389078494696881	1
"451"	"S2R4_13"	"Lcas"	"S2R4"	"SDR12"	"13"	110.6617957	5	"Sucrose"	"R4"	0.985080812	0.92597596328	0.999999999	0.947726204196667	0.977050079632331	1
"452"	"S2R4_13"	"Lreu"	"S2R4"	"SDR12"	"13"	110.6617957	6	"Sucrose"	"R4"	0	0	0.999999999	0.947726204196667	0	1
"453"	"S2R4_13"	"Phis"	"S2R4"	"SDR12"	"13"	110.6617957	4	"Sucrose"	"R4"	0	0	0.999999999	0.947726204196667	0	1
"454"	"S2R4_13"	"Smit"	"S2R4"	"SDR12"	"13"	110.6617957	4	"Sucrose"	"R4"	0	0	0.999999999	0.947726204196667	0	1
"455"	"S2R4_13"	"Ssal"	"S2R4"	"SDR12"	"13"	110.6617957	6	"Sucrose"	"R4"	0.002072109	0.00162315205	0.999999999	0.947726204196667	0.00171268035305181	1
"456"	"S2R4_13"	"Vaty"	"S2R4"	"SDR12"	"13"	110.6617957	3	"Sucrose"	"R4"	0.012847078	0.0201270888666667	0.999999999	0.947726204196667	0.0212372400146171	1
"457"	"S2R4_15"	"Lcas"	"S2R4"	"SDR12"	"15"	126.7081573	5	"Sucrose"	"R4"	0.968918359	0.91078325746	1	0.952335958243333	0.956367602815312	1
"458"	"S2R4_15"	"Lreu"	"S2R4"	"SDR12"	"15"	126.7081573	6	"Sucrose"	"R4"	0	0	1	0.952335958243333	0	1
"459"	"S2R4_15"	"Phis"	"S2R4"	"SDR12"	"15"	126.7081573	4	"Sucrose"	"R4"	0	0	1	0.952335958243333	0	1
"460"	"S2R4_15"	"Smit"	"S2R4"	"SDR12"	"15"	126.7081573	4	"Sucrose"	"R4"	0	0	1	0.952335958243333	0	1
"461"	"S2R4_15"	"Ssal"	"S2R4"	"SDR12"	"15"	126.7081573	6	"Sucrose"	"R4"	0.009117281	0.00714187011666667	1	0.952335958243333	0.00749931791910963	1
"462"	"S2R4_15"	"Vaty"	"S2R4"	"SDR12"	"15"	126.7081573	3	"Sucrose"	"R4"	0.02196436	0.0344108306666667	1	0.952335958243333	0.0361330792655781	1
"463"	"S2R4_18"	"Lcas"	"S2R4"	"SDR12"	"18"	153.4756666	5	"Sucrose"	"R4"	0.883547451	0.83053460394	1	1.00908136469	0.823060095055019	1
"464"	"S2R4_18"	"Lreu"	"S2R4"	"SDR12"	"18"	153.4756666	6	"Sucrose"	"R4"	0.000414422	0.000324630566666667	1	1.00908136469	0.000321709009824393	1
"465"	"S2R4_18"	"Phis"	"S2R4"	"SDR12"	"18"	153.4756666	4	"Sucrose"	"R4"	0	0	1	1.00908136469	0	1
"466"	"S2R4_18"	"Smit"	"S2R4"	"SDR12"	"18"	153.4756666	4	"Sucrose"	"R4"	0	0	1	1.00908136469	0	1
"467"	"S2R4_18"	"Ssal"	"S2R4"	"SDR12"	"18"	153.4756666	6	"Sucrose"	"R4"	0.004558641	0.00357093545	1	1.00908136469	0.0035387983317847	1
"468"	"S2R4_18"	"Vaty"	"S2R4"	"SDR12"	"18"	153.4756666	3	"Sucrose"	"R4"	0.111479486	0.174651194733333	1	1.00908136469	0.173079397603372	1
"469"	"S2R4_3"	"Lcas"	"S2R4"	"SDR12"	"3"	25.4982103	5	"Sucrose"	"R4"	0.61458765	0.577712391	1	1.10442533501667	0.52308868031471	1
"470"	"S2R4_3"	"Lreu"	"S2R4"	"SDR12"	"3"	25.4982103	6	"Sucrose"	"R4"	0.0132615	0.010388175	1	1.10442533501667	0.00940595499816494	1
"471"	"S2R4_3"	"Phis"	"S2R4"	"SDR12"	"3"	25.4982103	4	"Sucrose"	"R4"	0.000414422	0.00048694585	1	1.10442533501667	0.000440904273526695	1
"472"	"S2R4_3"	"Smit"	"S2R4"	"SDR12"	"3"	25.4982103	4	"Sucrose"	"R4"	0	0	1	1.10442533501667	0	1
"473"	"S2R4_3"	"Ssal"	"S2R4"	"SDR12"	"3"	25.4982103	6	"Sucrose"	"R4"	0.084956486	0.0665492473666667	1	1.10442533501667	0.0602569003595543	1
"474"	"S2R4_3"	"Vaty"	"S2R4"	"SDR12"	"3"	25.4982103	3	"Sucrose"	"R4"	0.286779942	0.4492885758	1	1.10442533501667	0.406807560054044	1
"475"	"S2R4_6"	"Lcas"	"S2R4"	"SDR12"	"6"	51.61979751	5	"Sucrose"	"R4"	0.795690012	0.74794861128	0.999999999	0.96642491998	0.773933490141664	1
"476"	"S2R4_6"	"Lreu"	"S2R4"	"SDR12"	"6"	51.61979751	6	"Sucrose"	"R4"	0.002072109	0.00162315205	0.999999999	0.96642491998	0.001679542835085	1
"477"	"S2R4_6"	"Phis"	"S2R4"	"SDR12"	"6"	51.61979751	4	"Sucrose"	"R4"	0	0	0.999999999	0.96642491998	0	1
"478"	"S2R4_6"	"Smit"	"S2R4"	"SDR12"	"6"	51.61979751	4	"Sucrose"	"R4"	0	0	0.999999999	0.96642491998	0	1
"479"	"S2R4_6"	"Ssal"	"S2R4"	"SDR12"	"6"	51.61979751	6	"Sucrose"	"R4"	0.127641939	0.09998618555	0.999999999	0.96642491998	0.103459858580705	1
"480"	"S2R4_6"	"Vaty"	"S2R4"	"SDR12"	"6"	51.61979751	3	"Sucrose"	"R4"	0.074595939	0.1168669711	0.999999999	0.96642491998	0.120927108442546	1
"481"	"S2R4_7"	"Lcas"	"S2R4"	"SDR12"	"7"	60.1117712	5	"Sucrose"	"R4"	0.911728139	0.85702445066	0.999999999	0.95506285281	0.897348743214596	1
"482"	"S2R4_7"	"Lreu"	"S2R4"	"SDR12"	"7"	60.1117712	6	"Sucrose"	"R4"	0.003729797	0.00292167431666667	0.999999999	0.95506285281	0.00305914349832629	1
"483"	"S2R4_7"	"Phis"	"S2R4"	"SDR12"	"7"	60.1117712	4	"Sucrose"	"R4"	0	0	0.999999999	0.95506285281	0	1
"484"	"S2R4_7"	"Smit"	"S2R4"	"SDR12"	"7"	60.1117712	4	"Sucrose"	"R4"	0	0	0.999999999	0.95506285281	0	1
"485"	"S2R4_7"	"Ssal"	"S2R4"	"SDR12"	"7"	60.1117712	6	"Sucrose"	"R4"	0.047658516	0.0373325042	0.999999999	0.95506285281	0.0390890548094921	1
"486"	"S2R4_7"	"Vaty"	"S2R4"	"SDR12"	"7"	60.1117712	3	"Sucrose"	"R4"	0.036883547	0.0577842236333333	0.999999999	0.95506285281	0.0605030584775858	1
"487"	"S2R4_9"	"Lcas"	"S2R4"	"SDR12"	"9"	77.07043517	5	"Sucrose"	"R4"	0.850393701	0.79937007894	1	0.97596905629	0.819052687980381	1
"488"	"S2R4_9"	"Lreu"	"S2R4"	"SDR12"	"9"	77.07043517	6	"Sucrose"	"R4"	0.003729797	0.00292167431666667	1	0.97596905629	0.0029936136784633	1
"489"	"S2R4_9"	"Phis"	"S2R4"	"SDR12"	"9"	77.07043517	4	"Sucrose"	"R4"	0	0	1	0.97596905629	0	1
"490"	"S2R4_9"	"Smit"	"S2R4"	"SDR12"	"9"	77.07043517	4	"Sucrose"	"R4"	0	0	1	0.97596905629	0	1
"491"	"S2R4_9"	"Ssal"	"S2R4"	"SDR12"	"9"	77.07043517	6	"Sucrose"	"R4"	0.070037298	0.0548625501	1	0.97596905629	0.0562134114257185	1
"492"	"S2R4_9"	"Vaty"	"S2R4"	"SDR12"	"9"	77.07043517	3	"Sucrose"	"R4"	0.075839204	0.118814752933333	1	0.97596905629	0.121740286915437	1
"493"	"S2R4_takedown"	"Lcas"	"S2R4"	"SDR12"	"takedown"	163.7809569	5	"Sucrose"	"R4"	0.495234148	0.46552009912	1	1.19691255667	0.388934092574942	1
"494"	"S2R4_takedown"	"Lreu"	"S2R4"	"SDR12"	"takedown"	163.7809569	6	"Sucrose"	"R4"	0.001657688	0.00129852226666667	1	1.19691255667	0.00108489317739247	1
"495"	"S2R4_takedown"	"Phis"	"S2R4"	"SDR12"	"takedown"	163.7809569	4	"Sucrose"	"R4"	0	0	1	1.19691255667	0	1
"496"	"S2R4_takedown"	"Smit"	"S2R4"	"SDR12"	"takedown"	163.7809569	4	"Sucrose"	"R4"	0	0	1	1.19691255667	0	1
"497"	"S2R4_takedown"	"Ssal"	"S2R4"	"SDR12"	"takedown"	163.7809569	6	"Sucrose"	"R4"	0.074181517	0.0581088549833333	1	1.19691255667	0.0485489559446192	1
